# BLASTP 2.17.0+
# Query: Unknown protein sequence
# Database: /Users/Q149596/development/workspaces/explorations/phyloproject/blastdb/tsr3_db
# Fields: subject acc., alignment length, % identity, gaps, score, bit score, evalue
# 502 hits found
1582913_0:005673	256	62.891	8	761	332	1.17e-107
210632_0:001c38	270	60.741	17	760	331	1.21e-107
451745_0:0040a7	256	60.938	11	754	329	1.40e-107
293821_0:0050de	254	61.811	11	761	332	1.41e-107
54343_0:004643	271	58.672	11	761	332	1.49e-107
240159_0:0065d6	258	60.853	11	760	331	1.58e-107
118183_0:001569	260	66.154	8	759	331	1.59e-107
173339_0:004a59	254	62.205	11	760	331	1.66e-107
241271_0:004d37	254	62.205	11	760	331	1.76e-107
75485_0:0024b3	258	66.279	2	760	331	2.22e-107
43700_0:00254c	285	56.491	11	759	331	2.30e-107
7998_0:000184	256	61.719	6	760	331	2.38e-107
80427_0:003909	192	77.604	1	766	334	2.41e-107
342381_0:001fbd	247	65.182	3	752	328	2.84e-107
208333_0:0025e4	260	60.769	13	758	330	3.37e-107
34773_0:0060b1	256	62.109	11	758	330	3.41e-107
141839_0:000f9b	238	67.227	3	757	330	3.67e-107
8524_0:003156	252	64.286	5	764	333	3.98e-107
240729_0:003670	212	70.755	3	751	327	4.21e-107
244447_0:001a05	255	61.569	13	758	330	4.45e-107
325343_0:000605	241	65.975	3	751	327	4.55e-107
37042_0:001cbb	223	69.058	1	751	327	4.66e-107
161448_0:004f66	273	59.341	16	758	330	4.90e-107
8177_0:004c5a	268	58.209	11	757	330	5.27e-107
449594_0:003014	231	67.532	3	750	327	6.80e-107
48193_0:004246	254	62.205	11	756	329	7.82e-107
308060_0:000554	191	75.916	1	748	326	8.48e-107
8245_0:001bda	254	61.811	11	754	329	9.13e-107
8168_0:0056a5	254	61.811	11	757	330	9.45e-107
161584_0:003e52	273	58.242	14	756	329	9.87e-107
8255_0:004ba0	254	61.417	11	756	329	1.04e-106
30455_0:003466	231	68.398	3	749	326	1.12e-106
173247_0:0043a1	300	55.000	18	755	329	1.16e-106
1250792_0:00534e	304	54.276	20	754	329	1.31e-106
270530_0:001e21	299	55.184	15	754	329	1.36e-106
8267_0:0046fe	254	61.417	11	757	330	1.41e-106
13676_0:004fd4	254	61.024	11	754	329	1.43e-106
8832_0:000d73	193	73.575	1	746	325	1.45e-106
43455_0:002679	230	67.826	3	750	327	1.46e-106
125297_0:002b1b	256	65.234	3	752	328	1.63e-106
72105_0:004f31	257	61.089	12	754	329	1.68e-106
73330_0:002e8f	226	65.487	1	748	326	1.69e-106
283035_0:005b28	254	61.811	11	755	329	1.69e-106
458196_0:002062	231	68.831	4	748	326	1.70e-106
433405_0:000a9d	268	58.955	14	755	329	1.76e-106
